Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_158.jpg,0,1,0,0.1507717,99.69254,85.61928,0.6820542,53.34357,-0.0003454693
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_226.jpg,0,1,0,0.2143631,99.70335,85.63374,0.9439735,53.33447,-0.0003191679
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_294.jpg,0,1,0,0.2739455,99.72041,85.65655,1.282416,53.41859,-0.002868304
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_361.jpg,0,1,0,0.3020002,99.73261,85.67197,1.29544,53.45261,-0.003941599
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_426.jpg,0,1,0,0.3900364,99.74547,85.68925,1.170133,53.37576,-0.0001323091
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_493.jpg,0,1,0,0.4485821,99.76625,85.71701,1.077763,53.32224,6.017501E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_560.jpg,0,1,0,0.5043573,99.78487,85.74191,1.091571,53.38856,-0.0007864682
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_622.jpg,0,1,0,0.5488463,99.8056,85.76958,1.148498,53.33488,0.0006696798
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_689.jpg,0,1,0,0.6020418,99.82809,85.79966,1.221349,53.30412,-0.001283059
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_755.jpg,0,1,0,0.6480596,99.85966,85.84167,1.228322,53.23221,-0.0005976188
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_822.jpg,0,1,0,0.7126286,99.88555,85.87601,1.206069,53.13975,-0.0005888874
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_889.jpg,0,1,0,0.780609,99.91361,85.91321,1.20573,53.13184,-0.0004463023
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_955.jpg,0,1,0,0.8198103,99.95344,85.96594,1.201654,53.14251,-0.000913792
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_28_022.jpg,0,1,0,0.8681368,99.9857,86.00864,1.207333,53.13506,-0.0009257494
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_28_088.jpg,0,1,0,0.9386338,100.0197,86.05359,1.208725,53.1914,-0.001020753
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_28_155.jpg,0,1,0,0.9885162,100.0679,86.11751,1.215229,53.18958,-0.0007626714
